Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
18/6/16,1374.00,587.00,0.40,0.00,1386.00,54.00,0.00,0.00,121.00
19/6/16,1413.00,677.00,0.46,0.00,1359.00,81.00,0.00,0.00,184.00
20/6/16,1434.00,1325.00,0.91,0.00,1341.00,99.00,0.00,0.00,222.00
21/6/16,1444.00,1326.00,0.91,0.00,1337.00,103.00,0.00,0.00,235.00
22/6/16,1506.00,3082.00,2.11,0.00,1299.00,141.00,0.00,0.00,332.00
23/6/16,1439.00,1102.00,0.75,0.00,1341.00,99.00,0.00,0.00,227.00
24/6/16,1459.00,1892.00,1.30,1.00,1328.00,112.00,0.00,0.00,258.00
25/6/16,1409.00,778.00,0.53,0.00,1361.00,79.00,0.00,0.00,178.00
26/6/16,1436.00,1161.00,0.80,0.00,1343.00,97.00,0.00,0.00,222.00
27/6/16,1452.00,2437.00,1.67,0.00,1334.00,106.00,0.00,0.00,246.00
28/6/16,1407.00,746.00,0.51,0.00,1362.00,78.00,0.00,0.00,175.00
29/6/16,1439.00,2235.00,1.53,0.00,1341.00,99.00,0.00,0.00,226.00
30/6/16,1507.00,3036.00,2.08,0.00,1294.00,146.00,0.00,0.00,337.00
1/7/16,1469.00,2209.00,1.51,0.00,1320.00,120.00,0.00,0.00,276.00
2/7/16,1467.00,1899.00,1.30,0.00,1322.00,118.00,0.00,0.00,272.00
3/7/16,1388.00,679.00,0.47,0.00,1378.00,62.00,0.00,0.00,142.00
4/7/16,1392.00,1146.00,0.79,0.00,1376.00,64.00,0.00,0.00,148.00
5/7/16,1424.00,1734.00,1.19,0.00,1353.00,87.00,0.00,0.00,201.00
6/7/16,1438.00,1101.00,0.75,0.00,1341.00,99.00,0.00,0.00,225.00
7/7/16,1462.00,1665.00,1.14,0.00,1323.00,117.00,0.00,0.00,266.00
8/7/16,1459.00,1612.00,1.10,0.00,1329.00,111.00,0.00,0.00,257.00
9/7/16,1440.00,1261.00,0.86,0.00,1342.00,98.00,0.00,0.00,227.00
10/7/16,1443.00,1029.00,0.70,0.00,1338.00,102.00,0.00,0.00,233.00
