Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
10/11/15,1530.00,887.00,0.60,0.00,1382.00,58.00,0.00,0.00,163.00
11/11/15,1585.00,481.00,0.33,0.00,1336.00,104.00,0.00,0.00,263.00
12/11/15,1573.00,779.00,0.53,0.00,1348.00,92.00,0.00,0.00,239.00
13/11/15,1630.00,685.00,0.47,0.00,1311.00,129.00,0.00,0.00,332.00
14/11/15,1637.00,722.00,0.49,0.00,1306.00,134.00,0.00,0.00,345.00
15/11/15,1617.00,1000.00,0.68,0.00,1326.00,114.00,0.00,0.00,304.00
16/11/15,1652.00,892.00,0.61,0.00,1293.00,147.00,0.00,0.00,372.00
17/11/15,1641.00,721.00,0.49,1.00,1310.00,130.00,0.00,0.00,345.00
18/11/15,1556.00,208.00,0.14,0.00,1361.00,79.00,0.00,0.00,209.00
19/11/15,1518.00,175.00,0.12,0.00,1378.00,62.00,0.00,0.00,154.00
20/11/15,1503.00,178.00,0.12,0.00,1395.00,45.00,0.00,0.00,123.00
21/11/15,1562.00,279.00,0.19,0.00,1357.00,83.00,0.00,0.00,219.00
22/11/15,1539.00,347.00,0.24,0.00,1371.00,69.00,0.00,0.00,182.00
23/11/15,1515.00,278.00,0.19,0.00,1385.00,55.00,0.00,0.00,145.00
24/11/15,1552.00,505.00,0.34,0.00,1358.00,82.00,0.00,0.00,208.00
25/11/15,1521.00,165.00,0.11,0.00,1376.00,64.00,0.00,0.00,159.00
26/11/15,1554.00,323.00,0.22,0.00,1361.00,79.00,0.00,0.00,207.00
27/11/15,1580.00,407.00,0.28,0.00,1344.00,96.00,0.00,0.00,249.00
28/11/15,1556.00,253.00,0.17,0.00,1354.00,86.00,0.00,0.00,216.00
29/11/15,1528.00,281.00,0.19,0.00,1379.00,61.00,0.00,0.00,163.00
30/11/15,1573.00,311.00,0.21,0.00,1345.00,95.00,0.00,0.00,242.00
1/12/15,1613.00,370.00,0.25,0.00,1317.00,123.00,0.00,0.00,309.00
2/12/15,1566.00,358.00,0.24,0.00,1352.00,88.00,0.00,0.00,228.00
3/12/15,1603.00,288.00,0.20,0.00,1325.00,115.00,0.00,0.00,292.00
4/12/15,1607.00,583.00,0.40,0.00,1322.00,118.00,0.00,0.00,298.00
5/12/15,1570.00,642.00,0.44,1.00,1347.00,93.00,0.00,0.00,237.00
6/12/15,1579.00,436.00,0.30,0.00,1348.00,92.00,0.00,0.00,245.00
7/12/15,1550.00,197.00,0.13,0.00,1358.00,82.00,0.00,0.00,206.00
8/12/15,1516.00,132.00,0.09,0.00,1380.00,60.00,0.00,0.00,150.00
9/12/15,1515.00,232.00,0.16,0.00,1380.00,60.00,0.00,0.00,149.00
11/12/15,1530.00,200.00,0.14,2.00,1191.00,65.00,0.00,0.00,170.00
12/12/15,1516.00,204.00,0.14,0.00,1382.00,58.00,0.00,0.00,148.00
13/12/15,1545.00,193.00,0.13,0.00,1363.00,77.00,0.00,0.00,196.00
14/12/15,1523.00,226.00,0.15,0.00,1377.00,63.00,0.00,0.00,160.00
15/12/15,1640.00,1292.00,0.88,4.00,1306.00,134.00,0.00,0.00,347.00
16/12/15,1569.00,268.00,0.18,0.00,1350.00,90.00,0.00,0.00,233.00
17/12/15,1521.00,169.00,0.12,0.00,1376.00,64.00,0.00,0.00,159.00
18/12/15,1545.00,568.00,0.39,9.00,1360.00,80.00,0.00,0.00,199.00
19/12/15,1497.00,108.00,0.07,0.00,1395.00,45.00,0.00,0.00,116.00
20/12/15,1527.00,191.00,0.13,0.00,1373.00,67.00,0.00,0.00,168.00
21/12/15,1651.00,549.00,0.37,0.00,1291.00,149.00,0.00,0.00,373.00
22/12/15,1625.00,662.00,0.45,0.00,1306.00,134.00,0.00,0.00,332.00
23/12/15,1640.00,1121.00,0.76,0.00,1302.00,138.00,0.00,0.00,351.00
24/12/15,1571.00,1064.00,0.72,0.00,1347.00,93.00,0.00,0.00,238.00
25/12/15,1574.00,531.00,0.36,0.00,1347.00,93.00,0.00,0.00,241.00
26/12/15,1676.00,904.00,0.62,3.00,1278.00,162.00,0.00,0.00,411.00
27/12/15,1625.00,1360.00,0.93,4.00,1321.00,119.00,0.00,0.00,318.00
28/12/15,1539.00,627.00,0.43,0.00,1365.00,75.00,0.00,0.00,188.00
29/12/15,1622.00,797.00,0.54,2.00,1320.00,120.00,0.00,0.00,316.00
30/12/15,1562.00,641.00,0.44,0.00,1352.00,88.00,0.00,0.00,224.00
31/12/15,1544.00,216.00,0.15,0.00,1363.00,77.00,0.00,0.00,195.00
1/1/16,1592.00,766.00,0.52,1.00,1334.00,106.00,0.00,0.00,272.00
2/1/16,1521.00,490.00,0.33,0.00,1379.00,61.00,0.00,0.00,156.00
3/1/16,1568.00,758.00,0.52,0.00,470.00,88.00,0.00,0.00,230.00
4/1/16,1589.00,644.00,0.44,0.00,1256.00,105.00,0.00,0.00,268.00
5/1/16,1537.00,536.00,0.37,0.00,1369.00,71.00,0.00,0.00,182.00
6/1/16,1596.00,384.00,0.26,0.00,1332.00,108.00,0.00,0.00,278.00
7/1/16,1587.00,1230.00,0.84,0.00,1333.00,107.00,0.00,0.00,268.00
8/1/16,1581.00,1241.00,0.85,0.00,1338.00,102.00,0.00,0.00,257.00
9/1/16,1548.00,422.00,0.29,0.00,1362.00,78.00,0.00,0.00,200.00
10/1/16,1498.00,927.00,0.63,0.00,1394.00,46.00,0.00,0.00,118.00
11/1/16,1581.00,696.00,0.47,0.00,1342.00,98.00,0.00,0.00,252.00
12/1/16,1532.00,237.00,0.16,0.00,1372.00,68.00,0.00,0.00,174.00
13/1/16,1591.00,741.00,0.50,1.00,1332.00,108.00,0.00,0.00,273.00
14/1/16,1603.00,1283.00,0.87,1.00,1322.00,118.00,0.00,0.00,294.00
15/1/16,1659.00,1099.00,0.75,0.00,1294.00,146.00,0.00,0.00,378.00
16/1/16,1615.00,671.00,0.46,0.00,1325.00,115.00,0.00,0.00,303.00
17/1/16,1653.00,1224.00,0.83,1.00,1298.00,142.00,0.00,0.00,368.00
18/1/16,1646.00,877.00,0.60,0.00,1296.00,144.00,0.00,0.00,364.00
19/1/16,1583.00,512.00,0.35,0.00,1335.00,105.00,0.00,0.00,262.00
20/1/16,1730.00,1311.00,0.89,0.00,1286.00,154.00,0.00,0.00,457.00
21/1/16,1869.00,2407.00,1.64,0.00,1262.00,172.00,6.00,0.00,620.00
22/1/16,1893.00,3285.00,2.24,0.00,1269.00,153.00,5.00,13.00,637.00
23/1/16,1712.00,1053.00,0.72,0.00,1305.00,135.00,0.00,0.00,421.00
24/1/16,1822.00,2018.00,1.37,0.00,1272.00,147.00,14.00,7.00,564.00
25/1/16,1858.00,2041.00,1.39,0.00,746.00,186.00,6.00,4.00,627.00
26/1/16,1662.00,923.00,0.63,0.00,866.00,111.00,0.00,0.00,347.00
27/1/16,1486.00,203.00,0.14,0.00,1409.00,31.00,0.00,0.00,91.00
28/1/16,1802.00,1735.00,1.18,1.00,1267.00,158.00,14.00,1.00,548.00
29/1/16,2002.00,2916.00,1.99,2.00,1202.00,217.00,11.00,10.00,813.00
30/1/16,1709.00,1038.00,0.71,0.00,1307.00,124.00,9.00,0.00,415.00
31/1/16,1819.00,1812.00,1.23,0.00,1266.00,155.00,16.00,3.00,566.00
1/2/16,1762.00,1781.00,1.21,0.00,1303.00,112.00,16.00,9.00,472.00
2/2/16,1762.00,1187.00,0.81,0.00,1279.00,161.00,0.00,0.00,496.00
3/2/16,1818.00,1918.00,1.31,1.00,1252.00,188.00,0.00,0.00,579.00
4/2/16,1789.00,2827.00,1.93,5.00,1290.00,131.00,8.00,11.00,512.00
5/2/16,1790.00,1333.00,0.91,0.00,1280.00,160.00,0.00,0.00,524.00
6/2/16,1765.00,1118.00,0.76,0.00,1275.00,165.00,0.00,0.00,504.00
7/2/16,1770.00,1171.00,0.80,0.00,1281.00,152.00,7.00,0.00,502.00
8/2/16,1744.00,1252.00,0.85,0.00,1285.00,155.00,0.00,0.00,472.00
