Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
11/11/16,2049.00,77.00,0.06,0.00,1432.00,8.00,0.00,0.00,31.00
12/11/16,2086.00,10.00,0.01,0.00,1437.00,3.00,0.00,0.00,12.00
13/11/16,2122.00,6.00,0.00,0.00,1428.00,12.00,0.00,0.00,44.00
14/11/16,2418.00,535.00,0.43,0.00,1321.00,119.00,0.00,0.00,488.00
15/11/16,2245.00,167.00,0.14,0.00,1384.00,56.00,0.00,0.00,218.00
16/11/16,2451.00,397.00,0.32,0.00,1301.00,139.00,0.00,0.00,543.00
17/11/16,2204.00,151.00,0.12,0.00,1403.00,37.00,0.00,0.00,144.00
18/11/16,2319.00,326.00,0.26,0.00,1365.00,75.00,0.00,0.00,313.00
19/11/16,2118.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
20/11/16,2119.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
21/11/16,2124.00,19.00,0.02,0.00,1438.00,2.00,0.00,0.00,7.00
22/11/16,2277.00,312.00,0.25,0.00,1385.00,55.00,0.00,0.00,237.00
23/11/16,2744.00,1789.00,1.45,0.00,1245.00,195.00,0.00,0.00,911.00
24/11/16,2560.00,992.00,0.80,0.00,1297.00,143.00,0.00,0.00,649.00
25/11/16,2669.00,1475.00,1.19,0.00,1281.00,134.00,25.00,0.00,781.00
26/11/16,2230.00,348.00,0.28,0.00,1411.00,29.00,0.00,0.00,150.00
27/11/16,2226.00,545.00,0.44,4.00,1397.00,43.00,0.00,0.00,166.00
28/11/16,2638.00,1661.00,1.34,0.00,1290.00,140.00,8.00,2.00,736.00
29/11/16,2596.00,1548.00,1.25,0.00,1299.00,133.00,0.00,8.00,680.00
30/11/16,2826.00,2426.00,1.96,0.00,1240.00,200.00,0.00,0.00,997.00
1/12/16,2685.00,1959.00,1.58,0.00,1270.00,170.00,0.00,0.00,811.00
2/12/16,2149.00,8.00,0.01,0.00,1429.00,11.00,0.00,0.00,41.00
3/12/16,2138.00,5.00,0.00,0.00,1434.00,6.00,0.00,0.00,23.00
4/12/16,2577.00,1134.00,0.92,0.00,1296.00,144.00,0.00,0.00,664.00
5/12/16,2588.00,1112.00,0.90,0.00,1289.00,151.00,0.00,0.00,685.00
6/12/16,2943.00,3657.00,2.96,0.00,1253.00,179.00,2.00,6.00,1094.00
7/12/16,2784.00,2147.00,1.74,0.00,1237.00,203.00,0.00,0.00,959.00
8/12/16,2902.00,3280.00,2.65,0.00,1255.00,177.00,0.00,8.00,1049.00
9/12/16,2718.00,2248.00,1.82,0.00,1279.00,154.00,5.00,2.00,830.00
10/12/16,2132.00,4.00,0.00,0.00,1437.00,3.00,0.00,0.00,11.00
11/12/16,2553.00,1997.00,1.62,28.00,1257.00,183.00,0.00,0.00,698.00
12/12/16,2126.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
13/12/16,2126.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
14/12/16,2126.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
15/12/16,2126.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
16/12/16,2126.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
17/12/16,2126.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
18/12/16,2542.00,1247.00,1.01,0.00,1344.00,68.00,21.00,7.00,557.00
19/12/16,2951.00,2071.00,1.68,0.00,1234.00,189.00,10.00,7.00,1129.00
20/12/16,2736.00,1690.00,1.37,1.00,1306.00,105.00,10.00,19.00,808.00
21/12/16,3065.00,3520.00,2.85,4.00,1276.00,96.00,23.00,45.00,1181.00
22/12/16,2524.00,1198.00,0.97,0.00,1354.00,71.00,10.00,5.00,524.00
23/12/16,3594.00,4325.00,3.50,5.00,1145.00,285.00,1.00,9.00,1904.00
24/12/16,2533.00,1328.00,1.07,2.00,1349.00,91.00,0.00,0.00,541.00
25/12/16,2127.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
26/12/16,2672.00,1572.00,1.27,8.00,1289.00,143.00,4.00,4.00,769.00
27/12/16,2131.00,0.00,0.00,0.00,1438.00,2.00,0.00,0.00,7.00
28/12/16,2775.00,2467.00,2.00,2.00,1299.00,141.00,0.00,0.00,857.00
29/12/16,2762.00,2674.00,2.16,1.00,1322.00,81.00,13.00,24.00,810.00
30/12/16,2127.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
31/12/16,2130.00,0.00,0.00,0.00,1439.00,1.00,0.00,0.00,4.00
1/1/17,2129.00,0.00,0.00,0.00,1439.00,1.00,0.00,0.00,4.00
2/1/17,2127.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
3/1/17,2127.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
4/1/17,3136.00,4609.00,3.73,5.00,1256.00,112.00,35.00,37.00,1281.00
5/1/17,2132.00,14.00,0.01,0.00,1439.00,1.00,0.00,0.00,7.00
6/1/17,2944.00,2782.00,2.25,0.00,1225.00,188.00,20.00,7.00,1135.00
7/1/17,3432.00,4509.00,3.65,6.00,1215.00,147.00,30.00,48.00,1638.00
8/1/17,2821.00,2436.00,1.97,4.00,1258.00,171.00,5.00,6.00,963.00
9/1/17,3390.00,9044.00,7.32,9.00,1083.00,316.00,38.00,3.00,1790.00
10/1/17,2885.00,4902.00,3.97,7.00,1207.00,233.00,0.00,0.00,1102.00
11/1/17,2913.00,5658.00,4.58,8.00,1183.00,251.00,5.00,1.00,1166.00
12/1/17,2587.00,1450.00,1.17,2.00,1349.00,91.00,0.00,0.00,595.00
13/1/17,2127.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
14/1/17,3027.00,6164.00,4.99,3.00,1179.00,243.00,13.00,5.00,1286.00
15/1/17,2127.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
16/1/17,2791.00,4421.00,3.58,9.00,1222.00,218.00,0.00,0.00,986.00
17/1/17,3301.00,7758.00,6.28,10.00,1104.00,321.00,14.00,1.00,1670.00
18/1/17,3451.00,8567.00,6.93,10.00,1060.00,341.00,37.00,2.00,1886.00
19/1/17,2154.00,140.00,0.11,0.00,1432.00,8.00,0.00,0.00,39.00
20/1/17,2959.00,5787.00,4.68,9.00,1182.00,258.00,0.00,0.00,1214.00
21/1/17,3163.00,8690.00,7.03,6.00,1167.00,231.00,30.00,12.00,1440.00
22/1/17,2390.00,1587.00,1.28,0.00,1357.00,77.00,5.00,1.00,386.00
23/1/17,3204.00,6916.00,5.60,7.00,1151.00,264.00,23.00,2.00,1503.00
24/1/17,3203.00,7153.00,5.79,11.00,1140.00,286.00,14.00,0.00,1519.00
25/1/17,3253.00,7328.00,5.93,7.00,1133.00,298.00,9.00,0.00,1580.00
26/1/17,2202.00,341.00,0.28,0.00,1420.00,20.00,0.00,0.00,105.00
27/1/17,2737.00,3595.00,2.91,2.00,1093.00,245.00,0.00,0.00,971.00
28/1/17,2485.00,1732.00,1.40,0.00,545.00,149.00,0.00,0.00,578.00
29/1/17,2213.00,582.00,0.53,2.00,1204.00,21.00,0.00,0.00,116.00
30/1/17,3025.00,6281.00,5.08,9.00,1136.00,304.00,0.00,0.00,1347.00
